Indice_flesch;NomeArquivo;Preco_arq;med_caracs_pags;nro_caracteres;nro_pags;nro_palavras;numbers;plvr_outra_ling;plvrs_unicas;substantivos;verbos
32.6;Turn_or_Burn_Approaching_The_Peculiar_Ca.pdf;10061.58;2151.0;883885;411;144816;615;60;17315;54211;18981
-51.17;Unusual_organic_osmolytes_in_deep-sea_an.pdf;94.6;3206.0;32061;10;4607;9;23;1766;2195;521
-288.49;Von-HippelF_BIOL3559_ConservBio.pdf;29.41;1666.0;8332;5;1201;0;0;528;572;152
24.95;Walsh-Master.pdf;2081.27;1834.0;152231;83;25571;109;7;5324;9240;3599
-9917.83;wellek.pdf;170.33;3035.0;57668;19;9667;47;5;2566;2821;1311
9.9;WP3 Comparative Report.pdf;1679.67;1854.0;124230;67;18764;98;8;2084;7332;2073
13.35;wp554.pdf;1678.77;1994.0;125613;63;19697;146;32;2782;8725;2395
46.61;Yancey512.pdf;217.06;3592.0;21552;6;3096;7;5;1248;1413;409
37.26;z2010_1006.pdf;96.35;1410.0;7049;5;970;0;0;359;932;3
42.95;Zacharia2001_Article_EconomicsOfDynamicPricingInARe.pdf;375.54;2038.0;32603;16;5026;21;1;1497;1889;749
